,title,author,label
4449,Mondelez Abandons Its Efforts to Combine With Hershey - The New York Times,Leslie Picker,0
4450,"Japanese Leader’s Pearl Harbor Visit, Called a First, Looks More Like a Fourth - The New York Times",Motoko Rich,0
4452,"Report: NSA Ignored Law Change, Collected U.S. Citizens’ Phone Records - Breitbart",Charlie Nash,0
4454,Harvard Business Review: American Families Face Increasing Financial Instability - Breitbart,Tom Ciccotta,0
4458,When a Senator Passes Judgment on a Chief Justice - The New York Times,Adam Liptak,0
4461,Hillary Clinton Warns That Donald Trump’s ‘Thin Skin’ Would Set Off War or Economic Crisis - The New York Times,Amy Chozick and Mark Landler,0
4463,Exclusive—Tuesday Group Co-chairman MacArthur on Lessons Learned from AHCA: Include All Members,Sean Moran,0
4466,$7 Million in Donations to Go Directly to Orlando Kin and Survivors - The New York Times,Frances Robles and Timothy Williams,0
4468,Libertarians See Chance Amid Discontent Over Donald Trump and Hillary Clinton - The New York Times,Alan Rappeport,0
4471,Judge Orders Written Testimony From Hillary Clinton on Emails - The New York Times,Steven Lee Myers,0
4472,Stephen King Mocks Trump Wiretapping Claims with Short Story,Daniel Nussbaum,0
4474,Inhabitants of Maldives Atoll Fear a Flood of Saudi Money - The New York Times,Hassan Moosa and Geeta Anand,0
4476,Freedom Caucus Chair Mark Meadows: We Need Tax Reform By August,Sean Moran,0
4477,"Mildred Dresselhaus, the Queen of Carbon, Dies at 86 - The New York Times",Natalie Angier,0
4479,"’Quantico’ Showrunner: Trump Voters Probably Won’t Watch Our Show, It’s About ’Inclusion’",Jerome Hudson,0
4483,"In Dropping Health Vote, Trump Swallowed Need for a Showdown - The New York Times",Julie Hirschfeld Davis and Maggie Haberman,0
4484,Where Burning Effigies (Not Just Guy Fawkes’s) Is Part of the Fun - The New York Times,Stephen Castle,0
4486,Hurray for the Riff Raff’s Alynda Segarra Finds Herself in a Concept Album - The New York Times,Jim Farber,0
4490,Trump Condemns ’Evil Losers’ Behind Manchester Concert Massacre,Deborah Danan,0
4491,India’s Air Pollution Rivals China’s as World’s Deadliest - The New York Times,Geeta Anand,0
4492,Anthony Weiner Says His Wife Never Agreed to That Documentary - The New York Times,Mark Leibovich,0
4493,"Hillary Clinton, Zika, Syria: Your Monday Evening Briefing - The New York Times",Andrea Kannapell and Sandra Stevenson,0
4495,"After a Crime, the Price of a Second Chance - The New York Times",Shaila Dewan and Andrew W. Lehren,0
4497,"Candles May Have Caused Fire That Gutted Serbian Church, Officials Say - The New York Times",Corey Kilgannon,0
4499,Sumner Redstone Moves to Replace Ousted Trust Members - The New York Times,Emily Steel,0
4501,Jeff Sessions: I Will Recuse Myself From Future Hillary Clinton Investigations - Breitbart,Katie McHugh,0
4503,Developer DICE Moving on from ’Star Wars Battlefront’ to Sequel - Breitbart,Nate Church,0
4504,Low-Priority Immigrants Still Swept Up in Net of Deportation - The New York Times,Julia Preston,0
4507,Prisons Run by C.E.O.s? Privatization Under Trump Could Carry a Heavy Price - The New York Times,Eduardo Porter,0
4508,"Treasury Imposes Sanctions on North Korea, Cutting Access to Banks - The New York Times",David E. Sanger and Michael Corkery,0
4509,2016 Already Shows Record Global Temperatures - The New York Times,Tatiana Schlossberg,0
4510,Saudis and Extremism: ‘Both the Arsonists and the Firefighters’ - The New York Times,Scott Shane,0
4511,"Malia Obama Rebels, Sort of, by Choosing Harvard - The New York Times",Julie Hirschfeld Davis and Nicholas Fandos,0
4512,"Hillary Clinton, Donald Trump, Muhammad Ali: Your Friday Evening Briefing - The New York Times",Andrea Kannapell and Sandra Stevenson,0
4515,"The Divorce Diet? Losing a Spouse and Some Pounds, Too - The New York Times",Hilary Howard,0
4516,McConnell: Whether I Have to Use Nuclear Option on Gorsuch ’Will Depend on the Democrats’ - Breitbart,Ian Hanchett,0
4517,"Review: For Muhammad Ali, an Endless Round of Books - The New York Times",Michiko Kakutani,0
4519,The Last-Second Shot: It’s This Tournament’s Buzzer-Beating Heart - The New York Times,Ray Glier,0
4520,Woody Harrelson Quits Smoking Pot after 30 Years,Warner Todd Huston,0
4524,Virginia Governor Restores Voting Rights to Felons - The New York Times,Sheryl Gay Stolberg and Erik Eckholm,0
4525,Prey: The Reason Turtles First Came Out of Their Shells - The New York Times,Nicholas St. Fleur,0
4527,Exclusive-Navy SEAL Rep. Scott Taylor: Trump’s Navy SEAL Widow Tribute ’One of the Most Powerful Things I Have Ever Seen’ - Breitbart,Neil W. McCabe,0
4528,"Stephen Colbert Reboots ‘The Late Show,’ Fixing It on the Fly - The New York Times",Dave Itzkoff,0
4530,"The Hunger Strike, the Protest Tactic of Gandhi, is Vexing Iran’s Penal Overseers - The New York Times",Thomas Erdbrink,0
4531,Trump Celebrates American Manufacturing Survey Showing Highest Level of Optimism in 20 Years - Breitbart,Charlie Spiering,0
4535,Dallas Democrats Fret over Threat of ‘Voter Fraud’,Logan Churchwell,0
4539,"Salah Abdeslam, Suspect in Paris Attacks, Is Extradited to France - The New York Times",Aurelien Breeden,0
4540,"Top Hillary Clinton Adviser Said Despite Mistakes, Campaign Faced ’A Perfect Storm’ of Problems - Breitbart",Katherine Rodriguez,0
4541,"MILO: President Trump, Here’s Why You Must Cut Federal Funding From UC Berkeley - Breitbart",Milo,0
4542,Sweden’s Anti-Mass Migration Leader in Wall Street Journal: ’Trump Is Right’,Oliver JJ Lane,0
4543,How to Survive Being an Airbnb Host - The New York Times,Jeannie Ralston,0
4546,All Eyes on China as U.S. Signals New Tack on North Korea - The New York Times,Jane Perlez,0
4548,"Pyrotechnic Party of Legend, Killed Off by Social Media - The New York Times",Ginia Bellafante,0
4549,Alexander Rossi Wins the 100th Indianapolis 500 - The New York Times,Jerry Garrett,0
4553,Liked ‘Serial’? Here’s Why the True-Crime Podcast ‘S-Town’ Is Better - The New York Times,Amanda Hess,0
4554,Megyn Kelly Spox: Fox News Exit ‘Still Being Negotiated’ - Breitbart,Brian McNicoll,0
4556,"Regaining Chicken Salad’s Dignity, Any Time of Day - The New York Times",Julia Moskin,0
4557,"Afropunk: Feeling Black Activism’s Joy, and Its Pain - The New York Times",Tamara Best,0
4558,WikiLeaks: CIA Hackers Want to Take Control of Your Car - Breitbart,Allum Bokhari,0
4559,Mike Pence: A Conservative Proudly Out of Sync With His Times - The New York Times,Michael Barbaro and Monica Davey,0
4560,Fatal Boat Crash That Shook Lake George’s Serenity Brings Homicide Charge - The New York Times,Katharine Q. Seelye,0
4562,"On Sundays in Senegal, Surf’s Up for the Sheep - The New York Times",Jaime Yaya Barry,0
4563,Report: Senior Hamas Jihadists Defecting to Islamic State,Breitbart Jerusalem,0
4564,Supreme Court Decision on Affirmative Action Cheered by College Admissions Experts - The New York Times,Anemona Hartocollis,0
4566,Why Referendums Aren’t as Democratic as They Seem - The New York Times,Amanda Taub and Max Fisher,0
4568,5 Slain Dallas Officers Served Overseas and at Home - The New York Times,Alan Blinder and Alan Feuer,0
4571,Andy Weir’s Best Seller ‘The Martian’ Gets a Classroom-Friendly Makeover - The New York Times,Alexandra Alter,0
4572,How to View a Richer Year for the Poor and Middle Class - The New York Times,Quoctrung Bui,0
4573,California Today: Cracking Down on Distracted Driving - The New York Times,Mike McPhate,0
4575,"Pat Caddell: Trump White House ’Looks like Fort Apache Under Attack’ by Media, Political Class",John Hayward,0
4576,What Donald Trump and Anthony Weiner Have in Common - The New York Times,Michael Barbaro,0
4580,"64 Percent of DEA Fugitives are from Mexico, Figures Show",Ryan Saavedra,0
4581,Baseball Is Practically a Water Sport to the Mets’ Curtis Granderson - The New York Times,James Wagner,0
4582,Kathy Griffin ’Beheading’: Hollywood’s Feminist A-List Cashes In on Global Suffering of People of Color - Breitbart,Frances Martel,0
4586,She Was No Bird: ‘Jane Eyre’ Manuscript on First Trip to America - The New York Times,William Grimes,0
4587,"Catfished by a Catfish: 1 in 5 Seafood Samples Is Fake, Report Finds - The New York Times",Nicholas St. Fleur,0
4588,Paul: Will a GOP Congress Ever Balance the Budget? - Breitbart,Sen. Rand Paul (R-KY),0
4589,What Options Does the U.S. Have After Accusing Russia of Hacks? - The New York Times,David E. Sanger and Nicole Perlroth,0
4590,9 in 10 Gang Rapists In Sweden Have Foreign Origins,Chris Tomlinson,0
4591,MSNBC Anchor Asks If Trump Trying To Provoke A Domestic Terror Attack ’For His Own Gain’ - Breitbart,Pam Key,0
4593,How the Push to Advance Bathroom Rights for Transgender Americans Reached the White House - The New York Times,"Sheryl Gay Stolberg, Julie Bosman, Manny Fernandez and Julie Hirschfeld Davis",0
4598,"‘Girls’ Finale: Is It Just Us, or Did the Show Get Better? - The New York Times","Jenna Wortham, Amanda Hess and Margaret Lyons",0
4599,"Mosul, CETA, Trump: Your Tuesday Briefing - The New York Times",Patrick Boehler,0
4601,U.S. General Seeks ‘a Few Thousand’ More Troops in Afghanistan - The New York Times,Michael R. Gordon,0
4605,Kohrs &amp Coleman: A Pen and a Phone - Breitbart,Anthony Kohrs &amp Robert Coleman,0
4606,Civil Rights Commission Launches Investigation into Trump Admin. - Breitbart,Dr. Susan Berry,0
4607,Donald Trump Vows to Create 25 Million Jobs Over Next Decade - The New York Times,"Alexander Burns, Binyamin Appelbaum and Neil Irwin",0
4608,"Bill Nunn, Who Played Radio Raheem in ‘Do the Right Thing,’ Dies at 63 - The New York Times",Liam Stack,0
4610,F.D.A. Will Allow 23andMe to Sell Genetic Tests for Disease Risk to Consumers - The New York Times,Gina Kolata,0
4612,White Artist’s Painting of Emmett Till at Whitney Biennial Draws Protests - The New York Times,Randy Kennedy,0
4615,Al Pacino to Play Penn State Coach Joe Paterno in HBO Movie About Jerry Sandusky Sex Abuse Scandal,Ben Kew,0
4616,Twitter Continues to Hemhorrage Executives as Head of Asia Pacific Bolts - Breitbart,Nate Church,0
4618,What to Watch as Congress Nears Deadline to Avert Shutdown - The New York Times,Jennifer Steinhauer,0
4619,SB Nation Blog Claims That MLB Broadcast Booths Lack Diversity - Breitbart,Dylan Gwinn,0
4620,Audio: Inside the Room With President-Elect Donald Trump - The New York Times,Michael Barbaro,0
4621,Miami Beach Zika Cases May Prompt Call to Avoid City - The New York Times,Lizette Alvarez and Pam Belluck,0
4622,South Korean President Dismisses Aides in Bid to Stem Worsening Scandal - The New York Times,Choe Sang-Hun,0
4628,No Monkeying Around: NFL Network’s Mayock Threatens to Walk Off Set After Orangutan Announces Draft Pick - Breitbart,Dylan Gwinn,0
4631,"As Protests Flare, Iran Bids Farewell to Rafsanjani - The New York Times",Thomas Erdbrink,0
4634,Patriots Chris Long Goes on Twitter Rant to Explain Why He won’t Attend White House Meeting - Breitbart,Warner Todd Huston,0
4635,"How Sunflowers Follow the Sun, Day After Day - The New York Times",JoAnna Klein,0
4636,Hedge Fund Managers Work to Stanch Loss of Investors - The New York Times,Alexandra Stevenson,0
4639,"‘Ghostbusters’ Is No. 2, Behind ‘Secret Life of Pets,’ but Sony’s Giddy - The New York Times",Brooks Barnes,0
4640,G.O.P. Senators Suggest Changes for Health Care Bill Offered by House - The New York Times,Jennifer Steinhauer and Thomas Kaplan,0
4641,"Merkel Stands by Migrant Policy, Fights Terrorism with Compassion",Victoria Friedman,0
4645,"Kidnapped Border Patrol Agent Was Hacked with Machete, Suspects Caught",Brandon Darby &amp Ildefonso Ortiz,0
4646,NRA to Campaign Against Red State Democrats who Oppose Gorsuch - Breitbart,AWR Hawkins,0
4648,Independence Days: My Perfect Imperfect Gap Year - The New York Times,Kyle DeNuccio,0
4650,How you can create space in a tiny home - The New York Times,Remy Tumin,0
4652,Life in the Lights - The New York Times,The New York Times,0
4653,"H-2B Expansion ’Directly Counter’ to ’Buy American, Hire American,’ Says Workers Union",John Binder,0
4654,7 Essential Money Questions Sure to Start a Conversation - The New York Times,Ron Lieber,0
4655,Donald Trump in Brussels: ‘We Will Win This Fight’ Against Terrorism - Breitbart,Charlie Spiering,0
4656,U.S. Court Rules Infringement Suit by Trader Joe’s Can Proceed Against Pirate Joe’s - The New York Times,Kenneth R. Rosen,0
4657,Recovery Finally Yields Big Gains for Average Worker’s Pay - The New York Times,Nelson D. Schwartz,0
4659,California Today: Capturing the ‘Firefall’ at Yosemite - The New York Times,Mike McPhate,0
4661,George Michael’s Freedom Video: An Oral History - The New York Times,Guy Trebay and Jacob Bernstein,0
4662,4 Die in Jerusalem Attack as Palestinian Rams Truck Into Soldiers - The New York Times,Isabel Kershner,0
4663,Martha Stewart Gave a Portrait of Trump the Middle Finger at Art Fair - Breitbart,Katherine Rodriguez,0
4664,Woman Records Herself Performing Oral Sex in Courthouse - Breitbart,Katherine Rodriguez,0
4670,CNN’s Zeleny: ’Hard to Imagine’ Obama Would Have Commuted Manning If Manning Wasn’t Transitioning - Breitbart,Ian Hanchett,0
4673,University of Georgia Socialist Group Under Police Investigation After Calling for Beheading Republicans - Breitbart,Tom Ciccotta,0
4675,"California Today: On Catalina, the Drought Is Far From Over - The New York Times",Mike McPhate,0
4676,29 Cartel Inmates Escape Border State Prison,Ildefonso Ortiz,0
4680,"Flecks of Extraterrestrial Dust, All Over the Roof - The New York Times",William J. Broad,0
4681,"A Senate Vote-a-Rama Primer, in Case You Plan to Sleep Tonight - The New York Times",Thomas Kaplan,0
4683,The Financial Benefits of Buying What You Love - The New York Times,Carl Richards,0
4684,"Anti-Trump Women Marchers Threaten to Never Leave Washington, DC",Matthew Boyle,0
4685,"AR-15 Rifles Are Beloved, Reviled and a Common Element in Mass Shootings - The New York Times",Alan Feuer,0
4686,Is Yannick Nézet-Séguin Worth the Wait at the Met? - The New York Times,Anthony Tommasini,0
4688,Families Bearing Up a Year After Slayings in a Charleston Church - The New York Times,Michael Schwirtz and Chris Dixon,0
4689,More Leaks: James Comey Memo Says Trump Tried to Shut Down Flynn Investigation - Breitbart,Charlie Spiering,0
4692,GOP Sen Collins: House Healthcare Bill ’Dead on Arrival’ in Senate - Breitbart,Jeff Poor,0
4697,How to Deal With Digital Distractions - The New York Times,Quentin Hardy,0
4698,Janet Reno Was Unafraid of Science That Could Exonerate the Innocent - The New York Times,Jim Dwyer,0
4699,"Wash Post: Trump Orders ISIS Plan, Gives Bannon National Security Role - Breitbart",Breitbart News,0
4701,Ann Coulter: Trump Should Withdraw Funding from Any School with Speech Codes,John Hayward,0
4702,BBC: Hijab Wearing Basketball Players ’Big Step Forward for Women’s Sport’ - Breitbart,Ben Kew,0
4704,"Bill Clinton: Have to Bring ’Simple, Personal Decency and Trust’ Back to Politics - Breitbart",Ian Hanchett,0
4705,Fact-Checking Donald Trump’s National Security Speech - The New York Times,Matthew Rosenberg,0
4707,"Meg Whitman Likens Donald Trump to Fascists, Shaking G.O.P.’s Brief Truce - The New York Times",Ashley Parker and Maggie Haberman,0
4709,Police: Man Carrying Human Head Stabs Grocery Store Employee - Breitbart,Katherine Rodriguez,0
4711,Ben Stein: Media Is ’Supreme Power in America’ Now - Trying to Cut Trump Down to Size - Breitbart,Trent Baker,0
4712,"Buchanan on Syria: McCain, Graham, Rubio Are Not Going to Get ’the War They Want’ - Breitbart",Jeff Poor,0
4713,Videos Show Murder Suspect Shooting at Texas Border Town Cops,Bob Price,0
4714,Legislature Reaches Deal to Extend Mayoral Control of New York’s Schools for a Year - The New York Times,Vivian Yee and Jesse McKinley,0
4715,"Harvard Law, Moving to Diversify Applicant Pool, Will Accept GRE Scores - The New York Times",Elizabeth Olson,0
4716,MILO Takes Selfies With UC Davis Protestors - Breitbart,Ben Kew,0
4717,The Women of ‘Girls’ and Protest Whack-a-Mole - The New York Times,Wesley Morris and Jenna Wortham,0
4721,Trump Lays Plans to Reverse Obama’s Climate Change Legacy - The New York Times,Coral Davenport,0
4722,U.S. Will Ban Smoking in Public Housing Nationwide - The New York Times,Mireya Navarro,0
4724,Instagram Introduces New Tools Meant to Curb Abuse and Expand Privacy - The New York Times,Katie Rogers,0
4727,Lin-Manuel Miranda’s Final Bows in ‘Hamilton’ on Broadway - The New York Times,Joshua Barone,0
4730,Dalian Wanda of China Offers a Carrot to Hollywood - The New York Times,Brooks Barnes,0
4731,Parents Battle State of Georgia to Name Their Child ’Allah’ - Breitbart,Katherine Rodriguez,0
4732,Another Woman at the March Madness Mike? That Only Took 2 Decades - The New York Times,Juliet Macur,0
4733,North Korea’s Launch of Ballistic Missiles Raises New Worries - The New York Times,Choe Sang-Hun,0
4734,NY Times’ Haberman: Reports Bannon ’Neutered’ Fake News,Penny Starr,0
4737,Italy Brokers Deal Between Dozens of Rival Libyan Tribes To Stem Migrant Crisis,Breitbart London,0
4741,WATCH: Netanyahu Thanks House For Condemning UN Resolution,Deborah Danan,0
4742,"Cubs Oust Giants to Reach N.L.C.S., for Once on Good Side of a Big Rally - The New York Times",Billy Witz,0
4743,Connecticut to Appeal Decision in Schools Funding Case - The New York Times,Elizabeth A. Harris,0
4745,Cancer Survivor Receives First Penis Transplant in the United States - The New York Times,Denise Grady,0
4750,Russia Finds No Signs of Explosion in Black Sea Plane Crash - The New York Times,Ivan Nechepurenko,0
4752,"Teen Stabbed, Throat Slashed on Busy London High Street",Donna Rachel Edmunds,0
4756,Stephen Colbert: GOP ’Kicked America in the Balls’ with Obamacare Repeal Vote,Daniel Nussbaum,0
4757,Texas Soldier Stands in Pouring Rain to Salute Funeral of Fellow Veteran,Bob Price,0
4759,Regulator Tightens Control Over Wells Fargo - The New York Times,Reuters,0
4760,Erdogan: European Headscarf Ban ’Started a Clash Between the Cross and the Crescent’,John Hayward,0
4766,Words of Obama’s Father Still Waiting to Be Read by His Son - The New York Times,Rachel L. Swarns,0
4767,Kim Jong-nam’s Body Released by Malaysia to North Korea - The New York Times,Richard C. Paddock,0
4768,POTUS Tweeted Less Abroad Because of Melania’s Presence: Report - Breitbart,Tony Lee,0
4769,Miles of Algae and a Multitude of Hazards - The New York Times,Les Neuhaus,0
4771,Tony Award Winners - The New York Times,Zach Wichter,0
4773,Friends Say Minnesota Attacker Was ‘Normal American Kid’ - The New York Times,Mitch Smith and Richard Pérez-Peña,0
4776,Bomb Kills an American Soldier Near Besieged Afghan City - The New York Times,Mujib Mashal,0
4777,Trump Calls for Revoking Flag Burners’ Citizenship. Court Rulings Forbid It. - The New York Times,Charlie Savage,0
4779,Donald Trump Jr. Is His Own Kind of Trump - The New York Times,Laura M. Holson,0
4783,Celebs Attack Trump for Lifting Trans Bathroom School Guidelines,Jerome Hudson,0
4785,Sentenced to Death: A Look at Dylann Roof’s Rampage and Its Aftermath - The New York Times,Richard Pérez-Peña,0
4786,G.O.P.’s Health Care Tightrope Winds Through the Blue-Collar Midwest - The New York Times,Abby Goodnough and Jonathan Martin,0
4787,Bill Cosby’s Freedom and Legacy at Stake as Sexual Assault Trial Begins,Breitbart News,0
4789,"With C.I.A. Hacking Revelations, How to Protect Your Devices - The New York Times",Brian X. Chen,0
4792,"Putin and Trump Talk on Phone and Agree to Improve Ties, Kremlin Says - The New York Times",Neil MacFarquhar,0
4793,When Can Fetuses Feel Pain? Utah Abortion Law and Doctors Are at Odds - The New York Times,Jack Healy,0
4796,Carson Is New Sign Trump Plans to Govern From the Right - The New York Times,Michael D. Shear,0
4797,Nikki Haley Calls United Nations Human Rights Council ‘So Corrupt’ - The New York Times,Somini Sengupta,0
4798,Out of Sorts Around the Holidays? It Could Be Family Jet Lag - The New York Times,Elizabeth Yuko,0
4799,Zika Virus Case in Utah Baffles Health Officials - The New York Times,Sabrina Tavernise,0
4800,VIDEO: Police Shootout Kills Murder Suspect in Chicago ’War Zone’ - Breitbart,AWR Hawkins,0
4804,"Trump Tweets: Democrats Help MS-13, Heroin Smugglers by Opposing Border Wall - Breitbart",Neil Munro,0
4810,"WATCH: ’Kill Jews, Americans’ - Osama Bin Laden’s Son Calls for Global Terrorist Attacks",Simon Kent,0
4811,"Sticker Shock, and Maybe Nausea, Hamper Sales of Virtual Reality Gear - The New York Times",Nick Wingfield,0
4814,Mexico’s President Cancels Meeting With Trump Over Wall - The New York Times,Azam Ahmed,0
4815,Resurgent Syrian Rebels Surprise Damascus With New Assaults - The New York Times,Anne Barnard,0
4816,Dem Sen Menendez Calls for a ’9/11 Independent Type Commission’ To Investigate Trump - Breitbart,Pam Key,0
4817,Tancredo: Iowa’s Congressman Steve King Target of Globalist Assassins - Breitbart,Tom Tancredo,0
4818,"Democratic Party, Hillary Clinton, Donald Trump: Your Thursday Evening Briefing - The New York Times",Andrea Kannapell and Sandra Stevenson,0
4819,"Kidney Fund Seen Insisting on Donations, Contrary to Government Deal - The New York Times",Katie Thomas and Reed Abelson,0
4820,Ex-SF Mayor Willie Brown Warns Dems: Pushing Trump Impeachment Could ‘Backfire’ - Breitbart,Tony Lee,0
4821,Trump Ignored Black Voters. But Has Clinton Earned 91% of Their Support? - The New York Times,Michael Barbaro,0
4823,Tips for Your Post-Holiday Clutter Purge - The New York Times,Michelle Higgins,0
4826,Colombia and FARC Reach Deal to End the Americas’ Longest War - The New York Times,Nicholas Casey,0
4827,Kering’s Latest Luxury: A Generous Parental Leave Policy - The New York Times,Valeriya Safronova,0
4829,UC Berkeley Bans Ann Coulter – But She Plans to Speak Anyway! - Breitbart,Charlie Nash,0
4831,SCOTUS Throws Cold Water Early on Obama’s Partisan Gerrymandering Project,Logan Churchwell,0
4832,Second Powerful Earthquake Strikes Japan - The New York Times,Jonathan Soble,0
4834,"North Korea Will Have the Skills to Make a Nuclear Warhead by 2020, Experts Say - The New York Times",William J. Broad,0
4837,An Airport Survival Guide - The New York Times,Elaine Glusac,0
4838,‘How Do I Get Back Home?’ Iranians Turned Away From Flights to U.S. - The New York Times,Thomas Erdbrink,0
4842,John Podesta: ’I See No Sign’ Donald Trump Will Be Impeached - Breitbart,Adelle Nazarian,0
4843,Magnate’s Twin Goals: Fighting Climate Change and Electing Donald Trump - The New York Times,David Gelles,0
4844,Rising Prices in Oakland Push Artists Into Risky Housing - The New York Times,Conor Dougherty and Julie Turkewitz,0
4846,Is ‘Brexit’ the Precursor to a Donald Trump Presidency? Not So Fast - The New York Times,Jonathan Martin and Alexander Burns,0
4847,A New Casualty of Syria’s War: Drinking Water in Damascus - The New York Times,Ben Hubbard,0
4852,DHS Removes Obama’s ’Handcuffs’ on Border Patrol Agents,Bob Price,0
4853,Dallas Stares Down a Texas-Size Threat of Bankruptcy - The New York Times,Mary Williams Walsh,0
4854,Hillary Clinton Blames F.B.I. Director for Election Loss - The New York Times,Amy Chozick,0
4855,"Donald Trump’s Son-in-Law, Jared Kushner, Tests Legal Path to White House Job - The New York Times",Julie Hirschfeld Davis and Maggie Haberman,0
4857,A Suburban Experiment Aims for Free Energy - The New York Times,Diane Cardwell,0
4858,Black Designers in Focus at Fashion Institute of Technology - The New York Times,Alexandra Jacobs,0
4859,Three-Time Oscar-Winner Daniel Day-Lewis Retires from Acting,Daniel Nussbaum,0
4860,"Iceland Carbon Dioxide Storage Project Locks Away Gas, and Fast - The New York Times",Henry Fountain,0
4861,Whoopi: Are the Trump Administration Values ’Really Much Different than the Taliban’s’? - Breitbart,Pam Key,0
4864,Cherry Blossoms in Washington Could Peak Early - The New York Times,Nicholas Fandos,0
4868,California Today: Tackling Los Angeles’s Deadly Smog - The New York Times,Mike McPhate,0
4869,Trump on Election Victory: ’Never Underestimate the People’ - Breitbart,Ian Hanchett,0
4871,Marie Kondo: How to Choose Happiness - The New York Times,Marie Kondo,0
4873,The Nuclear Option -- More Fake News: Media Falsely Claim Trump Threatens First Amendment,Charles Hurt,0
4874,Mexican Politician’s Wife Arrested in Texas for Alleged Money Laundering Scheme,Ildefonso Ortiz,0
4875,"On Election Day, Little Chance of Changing That Early Vote - The New York Times",Daniel Victor,0
4878,Coming to Newark Archdiocese: A Different Kind of Cardinal - The New York Times,Sharon Otterman,0
4880,"Disney Boss Says No Political Bias at ABC News and ESPN, Complaints ’Completely Exaggerated’",Brian McNicoll,0
4882,Berkeley Mayor Is Member of Antifa Facebook Group that Organized Riots - Breitbart,Tom Ciccotta,0
4883,Barbra Streisand Sets the Record Straight - The New York Times,Ben Brantley,0
4884,Megyn Kelly Stops By the Rumor Mill With Cameo at CNN Party - The New York Times,Michael M. Grynbaum,0
4888,Gang Member Released by Jerry Brown Charged with Attempted Murder of Cop - Breitbart,Assemblyman Tim Donnelly,0
4892,Kelly Promises to Build Trump’s Wall in 2 Years or Less,Assemblyman Tim Donnelly,0
4895,"Donald Trump, Aleppo, Yahoo: Your Wednesday Evening Briefing - The New York Times",Karen Workman and Lisa Iaboni,0
4897,Report: Obama Gave $221 Million to Palestinians in Last Hours,Joel B. Pollak,0
4899,"Saying She’ll Do ’Everything,’ Aussie Girl Sells Her Virginity for $250K",Warner Todd Huston,0
4904,"Smugglers in West Bank Open Door to Jobs in Israel, and Violence - The New York Times",James Glanz and Rami Nazzal,0
4905,"New King for Thailand as Crown Prince, Vajiralongkorn, Ascends to Throne - The New York Times",Richard C. Paddock,0
4908,Jesse Watters: Under Armour Should ’Rip Up’ Steph Curry’s Contract After Criticizing Company for Trump Support - Breitbart,Trent Baker,0
4909,Muhammad Ali Evolved From a Blockbuster Fighter to a Country’s Conscience - The New York Times,Wesley Morris,0
4912,Mexican Report Says Investigators Botched Search for 43 Students - The New York Times,Paulina Villegas and Elisabeth Malkin,0
4913,The Anti-Trump Activist Taking On Retailers - The New York Times,Rachel Abrams,0
4914,Feinstein: I Believe Russia Interfered and Altered the Outcome of the Presidential Election - Breitbart,Pam Key,0
4916,Breitbart’s Boyle on One America: Obamacare Repeal Has a Chance to Pass if Paul Ryan Stays on Sidelines - Breitbart,Breitbart News,0
4917,EgyptAir Flight 804 Wreckage Reported in Mediterranean - The New York Times,Nicola Clark and Rick Gladstone,0
4918,Elizabeth Warren: No Plans to Run for President - Breitbart,Jeff Poor,0
4922,"Claims Against South Korean President: Extortion, Abuse of Power and Bribery - The New York Times",Choe Sang-Hun,0
4923,Missing Indonesian Man’s Body Found Inside Python,Katherine Rodriguez,0
4925,A Singer’s Journey: From Solitary Confinement to the Met Opera - The New York Times,Michael Cooper,0
4927,"’Anti-Migrant’ Gun Shop Shut Down, Database of Customers Handed to Cops",Chris Tomlinson,0
4928,"MLB Commish Manfred: We Are Looking Into Indians Chief Wahoo Logo, We’ll Be Responsive - Breitbart",Trent Baker,0
4930,Another 300 Migrants Storm Border at Spain’s Ceuta,Breitbart London,0
4931,John Podesta Says Russian Spies Hacked His Emails to Sway Election - The New York Times,Amy Chozick,0
4932,"Louisiana, U.S. Presidential Race, Zika: Your Tuesday Evening Briefing - The New York Times",Andrea Kannapell and Sandra Stevenson,0
4934,Review: Bruno Mars Delivers Decades of Funk in ‘24K Magic’ - The New York Times,Jon Caramanica,0
4935,Hispanic Official to Leave R.N.C. in Sign of Disaffection With Donald Trump - The New York Times,Jonathan Martin and Alexander Burns,0
4939,3 Tied to San Bernardino Gunman Are Indicted - The New York Times,Ian Lovett and Richard Pérez-Peña,0
4940,Trump Budget Kills Nixon-Era Affirmative Action Corporate Welfare Agency - Breitbart,Chris DeRose,0
4942,Louvre Attendants Strike After Vermeer Bottleneck - The New York Times,Rachel Donadio,0
4944,"North Korea, Rebuking Trump, Says It Can Test Long-Range Missile ‘Anytime’ - The New York Times",Choe Sang-Hun,0
4945,Senate Committee to Question Jared Kushner Over Meetings With Russians - The New York Times,"Jo Becker, Matthew Rosenberg and Maggie Haberman",0
4946,Oscar Nomination Puts Lin-Manuel Miranda One Step Closer to an EGOT - The New York Times,Jonah Engel Bromwich,0
4959,"Peter Schweizer: Business Dealings of President Trump’s Son-in-Law ‘Worrisome,’ Should Be ‘Monitored with Great Intensity’",John Hayward,0
4961,Student Petitions for School’s Name Change: Slave Owner James Madison’s Name Means Black Students ‘Unsafe’ - Breitbart,Dr. Susan Berry,0
4963,He’ll Be Back? Schwarzenegger Reportedly Mulling Run for Senate,Joel B. Pollak,0
